发布时间,来源,标题,状态,答复部门,类型,链接
2016-02-22,反映问题,反映超市音响播放音乐扰民,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4729.html
2016-02-22,反映问题,反映充公交卡收手续费,已回复,公交办,反映问题,http://www.jms.gov.cn/html/zmhd/content/4726.html
2016-02-21,反映问题,反映西林路西段乘车难,已回复,公交办,反映问题,http://www.jms.gov.cn/html/zmhd/content/4725.html
2016-02-21,反映问题,反映小区垃圾堆积没有人管,已回复,住房保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4724.html
2016-02-21,反映问题,反映站前有团伙偷窃何时能还旅客一个安全放心旅程,已回复,公安局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4723.html
2016-02-20,反映问题,反映入住7个月了啥也没有,已回复,住房保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4721.html
2016-02-14,反映问题,反映积雪卸运问题,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4684.html
2016-02-13,反映问题,反映第一加油站乘车难问题,已回复,公交办,反映问题,http://www.jms.gov.cn/html/zmhd/content/4683.html
2016-02-10,反映问题,希望给社区减负让社区干部回归本位,已回复,民政局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4680.html
2016-02-09,反映问题,反映佳木斯福丰街两侧停放车辆,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/4677.html
2016-02-09,反映问题,反映室内温度太低问题,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/4676.html
2016-02-06,反映问题,反映西门里花园小区垃圾处理自己烧,已回复,环境保护局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4674.html
2016-02-06,反映问题,反映交警怎么治理无牌车辆,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/4672.html
2016-02-05,反映问题,反映公交车问题,已回复,公交办,反映问题,http://www.jms.gov.cn/html/zmhd/content/4671.html
2016-01-28,反映问题,反映车管所8886122电话长期无人接听 114就这一个留存电话,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/4644.html
2016-01-28,反映问题,反映噪音影响休息,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4643.html
2016-01-25,反映问题,反映公交规划是不是没希望了,已回复,公交办,反映问题,http://www.jms.gov.cn/html/zmhd/content/4633.html
2016-01-24,反映问题,反映郊区清雪极差,已回复,郊区,反映问题,http://www.jms.gov.cn/html/zmhd/content/4628.html
2016-01-24,反映问题,反映供热如何维权,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/4627.html
2016-01-23,反映问题,反映辖区道路清雪极差,已回复,向阳区,反映问题,http://www.jms.gov.cn/html/zmhd/content/4626.html
2016-01-23,反映问题,咨询机动车驾驶员上岗证如何办理具体的花多少钱,已回复,交通运输局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4623.html
2016-01-20,反映问题,反映清雪差,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4604.html
2016-01-20,反映问题,反映高音喇叭扰民,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4599.html
2016-01-19,反映问题,反映停车收费问题,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4596.html
2016-01-19,反映问题,锦绣江南开发商拒绝交房,已回复,住房保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4592.html
2016-01-17,反映问题,反映翰林名苑办不了房照问题,已回复,房屋交易与产权管理中心,反映问题,http://www.jms.gov.cn/html/zmhd/content/4585.html
2016-01-16,反映问题,反映友谊路中兴村路口为什么长期不安装红绿灯,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/4583.html
2016-01-16,反映问题,反映胜利路铁路道口封路问题,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/4582.html
2016-01-15,反映问题,反映电视节目播出问题,已回复,文化广电新闻出版局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4581.html
2016-01-15,反映问题,万象国际售楼处开不出来机打发票以及合同,已回复,城乡规划局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4580.html
2016-01-14,反映问题,反映锦绣江南开发商殷经理拒绝让我们6号楼入户,已回复,住房保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4570.html
2016-06-14,反映问题,反映21世纪幼儿园违规改建并没有拆除,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/5330.html
2016-05-26,反映问题,反映停车地锁,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/5229.html
2016-05-25,反映问题,郊区敖其镇自来水,已回复,郊区,反映问题,http://www.jms.gov.cn/html/zmhd/content/5227.html
2016-05-12,反映问题,北方小区楼顶防水年久失修，屋内漏雨，且无外墙保温,已回复,向阳区,反映问题,http://www.jms.gov.cn/html/zmhd/content/5121.html
2016-05-05,反映问题,反映社会保障卡错误,已回复,人力资源和社会保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/5081.html
2016-05-05,反映问题,反映佳木斯的环境能好吗长安西段边防支队对面,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/5080.html
2016-05-04,反映问题,反映居住小区宽带垄断,已回复,工商局,反映问题,http://www.jms.gov.cn/html/zmhd/content/5068.html
2016-05-02,反映问题,反映金地家园东新佳小区南新建高层问题,已回复,城乡规划局,反映问题,http://www.jms.gov.cn/html/zmhd/content/5054.html
2016-03-13,反映问题,盼望全市工勤编人员提前退休,已回复,人力资源和社会保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4825.html
2016-03-12,反映问题,反映胜利路上拉石头车无遮盖,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/4822.html
2016-03-11,反映问题,反映马路上集装箱占道,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4819.html
2016-03-11,反映问题,反映违规占道,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4818.html
2016-03-11,反映问题,咨询退伍义务兵发钱,已回复,民政局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4816.html
2016-03-09,反映问题,反映11路滞留等客,已回复,公交办,反映问题,http://www.jms.gov.cn/html/zmhd/content/4813.html
2016-03-09,反映问题,反映清理违规长期占道,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/4811.html
2016-03-08,反映问题,反映公交大厦汽车公司家属楼4号楼已建楼30年出现地下沉，有火车经过时，震感明显,已回复,住房保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4808.html
2016-03-07,反映问题,反映公交大厦汽车公司家属楼4号楼已建楼30年出现地下沉，有火车经过时，震感明显,已回复,城乡建设局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4801.html
2016-03-06,反映问题,反映公交公司采取“站点冠名”方式创收是否合理,已回复,公交办,反映问题,http://www.jms.gov.cn/html/zmhd/content/4798.html
2016-03-01,反映问题,请协调在东风区文明巷安装路灯,已回复,城乡建设局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4775.html
2016-03-01,反映问题,反映中山路凌志手机连锁店噪声扰民问题,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4773.html
2016-02-28,反映问题,反映第一加油站站点乘车难问题,已回复,公交办,反映问题,http://www.jms.gov.cn/html/zmhd/content/4766.html
2016-02-28,反映问题,反映前进区紫宜香粥铺排风扰民问题,已回复,环境保护局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4762.html
2016-02-27,反映问题,反映工伤没得到赔偿问题,已回复,人力资源和社会保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4760.html
2016-02-27,反映问题,居民反映的问题长期没有得到解决,已回复,前进区,反映问题,http://www.jms.gov.cn/html/zmhd/content/4756.html
2016-02-26,反映问题,反映火车声音大的问题,已回复,城乡规划局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4752.html
2016-02-25,反映问题,反映长安西路红旗街至万新街路段双实线形同虚设,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/4747.html
2016-02-24,反映问题,富锦联通剥削员工希望领导做主,已回复,富锦市,反映问题,http://www.jms.gov.cn/html/zmhd/content/4745.html
2016-02-24,反映问题,咨询在饭店吃饭索要发票问题,已回复,税务局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4743.html
2016-02-17,反映问题,反映刘英俊烈士陵园管理差,已回复,民政局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4711.html
2016-02-17,反映问题,反映铝厂家属楼前的垃圾箱被占用,已回复,郊区,反映问题,http://www.jms.gov.cn/html/zmhd/content/4710.html
2016-02-17,反映问题,反映隔离桩被破坏,已回复,向阳区,反映问题,http://www.jms.gov.cn/html/zmhd/content/4708.html
2016-02-17,反映问题,反映锦绣江南楼房与铁路很近,已回复,城乡规划局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4706.html
2016-02-17,反映问题,反映佳木斯市为什么长期没有流动食品药品检测车啊,已回复,食品药品监督管理局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4703.html
2016-02-17,反映问题,反映宽带资费水平长期居高不下请马上解决,已回复,物价监督管理局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4702.html
2016-02-16,反映问题,请问你们佳木斯市信息中心的职责业务范围是什么啊？,已回复,政府办公室,反映问题,http://www.jms.gov.cn/html/zmhd/content/4699.html
2016-02-16,反映问题,致佳木斯市公众信息网的感谢信,已回复,政府网站网管中心,反映问题,http://www.jms.gov.cn/html/zmhd/content/4697.html
2016-02-16,反映问题,友谊路中兴村铁路以北路灯出现故障不亮了请马上解决,已回复,郊区,反映问题,http://www.jms.gov.cn/html/zmhd/content/4695.html
2016-02-05,反映问题,反映超市地下停车场收费合理吗,已回复,物价监督管理局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4670.html
2016-02-05,反映问题,反映道路堵车情况,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/4669.html
2016-02-05,反映问题,反映福丰街超市垃圾问题,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4668.html
2016-02-04,反映问题,反映开发商拒绝开购房发票,已回复,税务局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4666.html
2016-02-04,反映问题,反映友谊路的公交车不管是1路还是30路的车辆老是在人行道行驶严重干扰交通秩序,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/4664.html
2016-02-04,反映问题,反映友谊路的1路和30路的公交车长期在人行道上通行问题,已回复,公交办,反映问题,http://www.jms.gov.cn/html/zmhd/content/4663.html
2016-02-04,反映问题,反映友谊路中兴村铁路以北路灯不亮,已回复,城乡建设局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4662.html
2016-02-03,反映问题,反映文久街三中对面的幸福家园生活垃圾,已回复,住房保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4660.html
2016-02-01,反映问题,反映小区路灯不亮问题,已回复,前进区,反映问题,http://www.jms.gov.cn/html/zmhd/content/4658.html
2016-02-01,反映问题,反映路面结冰问题,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4657.html
2016-01-23,反映问题,反映坚决杜绝溶雪剂,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4622.html
2016-01-22,反映问题,反映红旗路清雪极差,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4621.html
2016-01-22,反映问题,请交警帮忙,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/4619.html
2016-01-22,反映问题,平房使用了46年算危房么什么时候动迁,已回复,城乡建设局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4618.html
2016-01-22,反映问题,已经使用了46年的平房算危房么？什么时候改造？,已回复,城乡规划局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4617.html
2016-01-22,反映问题,平房使用46年了算危房么什么时候动迁,已回复,住房保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4616.html
2016-01-22,反映问题,反映向阳区清雪差,已回复,向阳区,反映问题,http://www.jms.gov.cn/html/zmhd/content/4615.html
2016-01-21,反映问题,关于建华街南段清雪不净的问题,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4613.html
2016-01-21,反映问题,反映西林路西段乘车难,已回复,公交办,反映问题,http://www.jms.gov.cn/html/zmhd/content/4612.html
2016-01-21,反映问题,反映消防栓是什么样的,已回复,公安局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4610.html
2016-01-14,反映问题,建议把在其它部门上班的劳动协理员分配到社区工作,已回复,人力资源和社会保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4568.html
2016-01-14,反映问题,反映广播电视台网站不更新,已回复,文化广电新闻出版局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4567.html
2016-01-13,反映问题,回迁问题,已回复,住房保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4566.html
2016-01-13,反映问题,反映吉祥福苑电梯问题,已回复,住房保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4565.html
2016-01-13,反映问题,反映翰林名苑办不了房照问题,已回复,房屋交易与产权管理中心,反映问题,http://www.jms.gov.cn/html/zmhd/content/4563.html
2016-01-13,反映问题,反映第一加油站站点乘车难,已回复,公交办,反映问题,http://www.jms.gov.cn/html/zmhd/content/4558.html
2016-01-13,反映问题,反映利峰清池还老百姓和居民良好环境,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4557.html
2016-01-12,反映问题,反映盖房子你们城乡规划局为什么老是不给审批,已回复,城乡规划局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4556.html
2016-01-12,反映问题,反映中兴村铁路以北地区是否纳入2016年棚户区改造范围,已回复,住房保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4555.html
2016-01-11,反映问题,反映电视台改版问题,已回复,文化广电新闻出版局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4552.html
2016-02-16,反映问题,办理的独生子女证享有国家公民的权力,已回复,卫生和计划生育委员会,反映问题,http://www.jms.gov.cn/html/zmhd/content/4693.html
2016-02-14,反映问题,反映出租车拒载乘客,已回复,交通运输局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4688.html
2016-02-01,反映问题,反映公布交通卡充值点,已回复,公交办,反映问题,http://www.jms.gov.cn/html/zmhd/content/4652.html
2016-01-30,反映问题,关于大学游泳馆南侧围墙外14户居民棚改诉求,已回复,向阳区,反映问题,http://www.jms.gov.cn/html/zmhd/content/4648.html
2016-01-21,反映问题,佳木斯前进区棚户区什么时候改造呢,已回复,城乡建设局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4609.html
2016-01-21,反映问题,佳木斯前进区棚户区什么时候改造,已回复,城乡规划局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4608.html
2016-01-21,反映问题,前进区棚户区什么时候改造,已回复,住房保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4607.html
2016-01-08,反映问题,反映标牌问题,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4538.html
2016-01-08,反映问题,反映福馨园小区物业强制停水，管理部门到底能不能作为！,已回复,住房保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4534.html
2016-01-07,反映问题,电视台佳木斯新闻播放问题,已回复,文化广电新闻出版局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4531.html
2016-01-07,反映问题,反映客运枢纽为什么不卖中途票,已回复,交通运输局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4529.html
2016-01-06,反映问题,反映锦绣江南不让已经建设完的e6号楼入户,已回复,住房保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4521.html
2016-01-05,反映问题,反映住房配套设施没有,已回复,住房保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4520.html
2016-01-05,反映问题,反映西林路增加公交车,已回复,公交办,反映问题,http://www.jms.gov.cn/html/zmhd/content/4514.html
2016-01-02,反映问题,劳动法的庇护,已回复,人力资源和社会保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4503.html
2015-12-31,反映问题,长安中山路口南北方向待转问题再问,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/4491.html
2015-12-30,反映问题,反映保卫路佳西供电局附近两个超市噪声扰民情况,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4486.html
2015-12-30,反映问题,反映有人破坏节能改造工程工作成果,已回复,向阳区,反映问题,http://www.jms.gov.cn/html/zmhd/content/4483.html
2015-12-28,反映问题,反映小区私自扩建住宅面积,已回复,向阳区,反映问题,http://www.jms.gov.cn/html/zmhd/content/4479.html
2015-12-23,反映问题,反映新大润发门口新设红绿灯问题,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/4460.html
2015-12-23,反映问题,反映供热公司拒绝减免少供热期间的供热费用,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/4458.html
2015-12-22,反映问题,反映市区清雪不干净,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4457.html
2015-12-21,反映问题,反映为什么不给华园一号小区办房照,已回复,房屋交易与产权管理中心,反映问题,http://www.jms.gov.cn/html/zmhd/content/4456.html
2015-12-21,反映问题,反映车辆违停问题,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/4455.html
2015-12-21,反映问题,关于清雪的几点建议,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4454.html
2015-12-21,反映问题,11路站前路始发站点乱停影响通行,已回复,公交办,反映问题,http://www.jms.gov.cn/html/zmhd/content/4453.html
2015-12-21,反映问题,保卫路成龙生鲜超市全天高音喇叭扰民,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4452.html
2015-12-21,反映问题,反映10路公交等待时间过长，冬天太冷,已回复,公交办,反映问题,http://www.jms.gov.cn/html/zmhd/content/4451.html
2015-12-21,反映问题,反映佳木斯至汤原道路违章车辆多,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/4449.html
2015-12-11,反映问题,反映来信标号1449621656096 涉及到新华名苑物业费的问题为什么不显示,已回复,政府办公室,反映问题,http://www.jms.gov.cn/html/zmhd/content/4423.html
2015-12-11,反映问题,道路何时清理,已回复,向阳区,反映问题,http://www.jms.gov.cn/html/zmhd/content/4422.html
2015-12-09,反映问题,再次咨询新华名苑物业费的问题,已回复,住房保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4413.html
2015-12-08,反映问题,反映巷道清雪不彻底,已回复,向阳区,反映问题,http://www.jms.gov.cn/html/zmhd/content/4410.html
2015-12-06,反映问题,反映清雪不彻底,已回复,向阳区,反映问题,http://www.jms.gov.cn/html/zmhd/content/4401.html
2015-12-06,反映问题,反映华电供热不好,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/4400.html
2015-12-05,反映问题,反映市区清雪不到位,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4398.html
2015-12-03,反映问题,反映广播电视台网站打不开,已回复,文化广电新闻出版局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4385.html
2015-12-03,反映问题,反映五一村七队清雪问题,已回复,郊区,反映问题,http://www.jms.gov.cn/html/zmhd/content/4382.html
2015-11-23,反映问题,反映华电供热不好,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/4322.html
2015-11-22,反映问题,反映开美国际供暖问题,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/4321.html
2015-11-21,反映问题,佳木斯报业大厦西富贵公寓收取热化量表费什么时候安装使用,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/4320.html
2015-11-18,反映问题,佳纺松桦三期的巷道路灯,已回复,住房保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4314.html
2015-11-17,反映问题,反映杀羊的问题,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4309.html
2015-11-17,反映问题,新府苑小区室内温度达不到16度,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/4306.html
2015-11-17,反映问题,反映买车落不了户问题,已回复,工商局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4303.html
2015-11-16,反映问题,反映去富锦限速地点太多,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/4301.html
2015-11-09,反映问题,反映违章严重问题,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/4266.html
2015-11-08,反映问题,关于路边小广告代开发票的小广告,已回复,公安局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4264.html
2015-11-05,反映问题,反映向阳区龙翔名苑供热不热的问题,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/4259.html
2015-11-04,反映问题,反映违规建筑,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4252.html
2015-11-04,反映问题,反映交通违章现象严重,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/4250.html
2015-11-03,反映问题,反映私家车停放问题,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/4242.html
2015-11-03,反映问题,反映垃圾堆满院无人管,已回复,前进区,反映问题,http://www.jms.gov.cn/html/zmhd/content/4241.html
2015-11-02,反映问题,升学户口农转非，毕业后迁回。没有工作，地未收回，可以领取失地保障金吗？,已回复,东风区,反映问题,http://www.jms.gov.cn/html/zmhd/content/4239.html
2015-11-02,反映问题,咨询问题,已回复,向阳区,反映问题,http://www.jms.gov.cn/html/zmhd/content/4236.html
2015-11-01,反映问题,反映与宾社区7号楼庭院灯给予恢复。,已回复,城乡建设局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4235.html
2015-11-01,反映问题,育宾社区小区道板铺完下水未给清理造成下水不畅。,已回复,住房保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4234.html
2015-12-28,反映问题,反映小区车主私设停车卡问题,已回复,向阳区,反映问题,http://www.jms.gov.cn/html/zmhd/content/4478.html
2015-12-27,反映问题,反映室内温度谁来管管,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/4475.html
2015-12-26,反映问题,白金湾多层 华电供热 室内温度低达不到要求,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/4472.html
2015-12-25,反映问题,反映僵尸事故车在小区内霸占停车位,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/4469.html
2015-12-24,反映问题,感谢不动产登记管理局雷厉风行为民解忧,已回复,房屋交易与产权管理中心,反映问题,http://www.jms.gov.cn/html/zmhd/content/4468.html
2015-12-24,反映问题,我们友谊路中兴村在2016年开春棚户区改造动迁是真的吗,已回复,住房保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4467.html
2015-12-24,反映问题,反映灯箱广告问题,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4466.html
2015-12-24,反映问题,反映长安中山路口南北方向待转问题,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/4464.html
2015-12-21,反映问题,反映购买房子问题,已回复,住房保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4448.html
2015-12-20,反映问题,反映非法营运,已回复,交通运输局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4447.html
2015-12-19,反映问题,反映长安新城1号楼入户4年开发商不给换发票不给办房照,已回复,房屋交易与产权管理中心,反映问题,http://www.jms.gov.cn/html/zmhd/content/4445.html
2015-12-18,反映问题,铭诗苑供热极差，没人管理,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/4442.html
2015-12-17,反映问题,反映信号灯设置不合理,已回复,交警支队,反映问题,http://www.jms.gov.cn/html/zmhd/content/4439.html
2015-12-17,反映问题,反映铁路供暖问题,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/4437.html
2015-12-16,反映问题,反映市区清雪极差,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4435.html
2015-12-15,反映问题,反映市区清雪严重极差,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4428.html
2015-12-14,反映问题,反映杜绝使用溶雪剂,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4425.html
2015-12-14,反映问题,反映路面有冰何时处理,已回复,郊区,反映问题,http://www.jms.gov.cn/html/zmhd/content/4424.html
2015-12-03,反映问题,佳木斯市无线数字电视广播信号怎样接受啊？,已回复,文化广电新闻出版局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4381.html
2015-11-30,反映问题,反映保护小动物,已回复,林业局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4375.html
2015-11-29,反映问题,反映电视信号的问题,已回复,文化广电新闻出版局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4371.html
2015-11-28,反映问题,反映养殖牛补助问题,已回复,畜牧兽医局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4369.html
2015-11-28,反映问题,反映设立公平秤问题,已回复,工商局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4368.html
2015-11-26,反映问题,反映兴梅公园路灯不亮,已回复,城乡建设局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4354.html
2015-11-26,反映问题,反映暖气忽凉忽温压力不稳,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/4352.html
2015-11-25,反映问题,红色电瓶车随意拉客,已回复,交通运输局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4346.html
2015-11-25,反映问题,反应威立雅供热问题，为什么达尔凯归了威立雅，供热不好,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/4345.html
2015-11-24,反映问题,投诉威立雅供热不好,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/4343.html
2015-11-24,反映问题,反映佳纺松桦三期的巷道路,已回复,信访局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4342.html
2015-11-15,反映问题,反映出租车内禁烟,已回复,公交办,反映问题,http://www.jms.gov.cn/html/zmhd/content/4294.html
2015-11-15,反映问题,路边杀羊何时休,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4293.html
2015-11-15,反映问题,反映建立绿化公园,已回复,城乡规划局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4292.html
2015-11-14,反映问题,关于部分公交车过于老化的问题,已回复,公交办,反映问题,http://www.jms.gov.cn/html/zmhd/content/4290.html
2015-11-14,反映问题,反映永佳新天地燃气问题,已回复,燃气公司,反映问题,http://www.jms.gov.cn/html/zmhd/content/4288.html
2015-11-14,反映问题,反映郊区佳丹社区私自违法乱建,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4287.html
2015-11-13,反映问题,感谢信,未回复,桦南县,反映问题,http://www.jms.gov.cn/html/zmhd/content/4286.html
2015-11-13,反映问题,反映9线车延伸到新民村,已回复,公交办,反映问题,http://www.jms.gov.cn/html/zmhd/content/4284.html
2015-11-11,反映问题,什么时候调整最低工资标准,已回复,人力资源和社会保障局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4278.html
2015-11-10,反映问题,长胜路口融合雅居自来水问题收费超标准问题,已回复,龙江环保供水有限公司,反映问题,http://www.jms.gov.cn/html/zmhd/content/4272.html
2015-11-09,反映问题,反映商家私自占停车位,已回复,城市管理行政执法局,反映问题,http://www.jms.gov.cn/html/zmhd/content/4269.html
2015-11-09,反映问题,反映江畔人家小区何时供热,已回复,供热办,反映问题,http://www.jms.gov.cn/html/zmhd/content/4267.html
