信件标题,信件编号,办理单位,状态,类型,链接
暖房子工程为什么不更换窗户,G20181023-0038,长海县人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166817ac20166a19a00f00d3c
暖房子工程,G20181023-0032,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166817ac20166a10284890d0d
水资源公报,G20181023-0028,水务局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166817ac20166a034947e0cca
表扬大连市中心医院神经内一科李深医生,G20181023-0014,卫生和计划生育委员会,已办结,表扬,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166817ac201669f723c1a0c63
请建委回复“大连市甘井子区国安宜居小区易明物业擅自将属于业主共有的物业管理用房出租给服装厂”,G20181023-0007,甘井子区人民政府,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166817ac201669e7645460bef
《中山区关于拆除违法建设及环境整治的通告》，请问这一通告的责任执行部门有哪些？,G20181022-0056,中山区行政执法局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166817ac201669bf95c020afd
房产抵押咨询,G20181022-0052,金普新区管理委员会,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166817ac201669bdcabce0aeb
希望市民健身中心能够更好的为市民服务,G20181022-0050,体育局,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166817ac201669ba24bdf0ad8
小窑湾绿地香树花城没有公交车,G20181022-0048,金普新区管理委员会,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166817ac201669b4c9c4d0abd
小窑湾国际商务区绿地香树花城 交通,G20181022-0038,大连地铁集团有限公司,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166817ac201669ac05cfa0a7a
希望开通轻轨黄海大道站,G20181022-0033,大连地铁集团有限公司,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166817ac201669ab44b920a6f
小窑湾绿地香树花城只卖楼不通车,G20181022-0032,金普新区管理委员会,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166817ac201669aa977930a63
建议开通小窑湾黄海大道站点,G20181022-0028,大连地铁集团有限公司,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166817ac201669a9da52c0a53
举报大连方略管理咨询有限公司不诚信经营行为,G20181022-0025,星海湾管理所,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166817ac201669a6be27b0a29
关于河口社区卫生服务站,G20181022-0016,高新技术产业园区管理委员会,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166817ac2016699d9391809d5
名仕佳园建筑垃圾清除不及时且要改变这种模式； 天燃所管道应及时除锈保养,G20181022-0011,长海县人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166817ac2016699b4dcd009b7
已婚人员一方可否单独落户？,G20181022-0008,金普新区管理委员会,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166817ac2016699990c250996
请全统西山丽水小区的开发单位的上级主管部门国土资源局，限期开发单位在规定时间内开通小区 燃气外管网，并通过验收合格，至燃气公司办理开通燃气的手续,G20181022-0004,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166817ac20166998095ad097e
甘区远洋自然小区私建LED广告牌严重光污染！,G20181021-0028,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166817ac20166969f46c508b7
关于请求对大连成园物业管理有限公司不按时对温泉花园小区电梯维保进行的投诉举报,G20181021-0011,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166817ac2016694b9cf18080e
暖房子工程,G20181021-0004,甘井子区人民政府,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166817ac2016693f5703a07c2
身份信息安全,G20181020-0004,大连市通信管理局,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166817ac201668f523e800681
圈占居民楼下空地，当做自己停车场,G20181019-0027,沙河口区中山公园街道办事处,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166817ac201668b76de1004e2
鸳鸯港的候客厅不锈椅子秋冬季节应安装隔温棉垫暖民心,G20181019-0003,长海县人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166817ac2016689b2069f03db
暖气分户，恢复供暖。,G20181018-0040,西岗区供热办,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166817ac2016686184f7c0275
大政发[1998]51号及大房局发[2001]77号失效的年份日期,G20181018-0039,住房维修金管理中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166817ac20166861751300270
大连北站,G20181018-0025,车管处稽查科,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166817ac20166851972c301e7
三盘碾老交警队与液化站之间的路修复后，不彻底,G20181018-0022,长海县人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166817ac2016684e3c36f01b2
大连市中山区青云云集小区改变规划设计施工,G20181018-0011,规划局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166817ac2016684bed0f70194
二手房通过中介签的‘房地产买卖合同’,G20181017-0050,国土资源和房屋局,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166817ac201668217eaba0032
网络预约出租车驾驶员资格证,G20181017-0005,车管处培训科,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081667fc2a001667fc2a01c0000
排污主水管堵塞  一直停水 物业不抓紧维修,G20181017-0044,甘井子区人民政府,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081667c6ffc0166813a5bd8024d
查询一个民办学校是否存在,G20181017-0039,教育局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081667c6ffc0166811b4126023b
查询一个民办学校是否存在,G20181017-0038,教育局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081667c6ffc016681173e300238
百合山庄十年没有配建一所幼儿园、小学,G20181017-0035,高新区文教卫生局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081667c6ffc016681071e7a0229
公司违约少开工资,G20181017-0014,高新区人力资源和社会保障局,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081667c6ffc01667ff6df1f016c
查询一个学校是否存在,G20181016-0069,教育局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081667c6ffc01667c8a135f0006
没有预售许可证都可以上市了销售了吗？,G20181016-0067,国土资源和房屋局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081667c6ffc01667c84d5810005
集体土地的房屋继承无法更名怎么办,G20181016-0054,交易发证中心,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901667bd2bba01edf
大连商业店铺房屋维修基金,G20181016-0053,住房维修金管理中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901667bd2b09a1ede
请求甘井子区红旗街道受理,G20181016-0051,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901667bbfcd491ed2
教育类社会团体登记的前置审查,G20181016-0044,教育局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901667b60c9cb1e7e
申请单独电表,G20181016-0043,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901667b4603551e6f
停车位只售不租,G20181016-0038,金普新区管理委员会,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901667b33a7491e63
国资委不作为，纵勇大连再生资源交易所欺骗投资人,G20181016-0030,政府国有资产监督管理委员会,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901667b0dfd241e45
商户未发货联系不上商户,G20181016-0025,金普新区管理委员会,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901667b02ea091e3a
能否对八一路自由河改造,G20181016-0024,排水处,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901667b019e871e37
北京公园小区润德物业违法大价发[2014]28号文件要求收取车位管理费,G20181016-0020,大连市公共行政服务中心,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901667adae6381e20
出租车管理,G20181016-0017,车管处稽查科,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901667ac79e071e0c
大连象易颐和堂健康咨询有限公司,G20181016-0007,金普新区管理委员会,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901667a7b3c981dcd
违规审批停车场,G20181016-0005,金普新区管理委员会,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901667a3f754f1da0
违规审批经营性停车场,G20181016-0004,金普新区管理委员会,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901667a3d1c9a1d9e
城市花园棚户区改造烂尾楼,G20181015-0043,瓦房店市,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016677fe51d31cd3
关于增加炮台山公园路灯和建设器械的建议,G20181015-0041,金普新区管理委员会,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016677d92ceb1cc4
梦的伴侣止鼾器在网上欺诈暴利岀售,G20181015-0038,金普新区管理委员会,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901667749bb5a1c97
中升之宝 宝马4s店 欺骗客户,G20181015-0036,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016676fa02161c76
大连亿丰汽车城免交商业店铺房屋维修基金的法律依据,G20181015-0034,住房维修金管理中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016676a9f9c01c50
漏雨维权被物业人员入户殴打,G20181015-0031,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e590166769f1f6a1c45
租房补贴申请问题,G20181015-0025,住房保障中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e590166763ace381c0f
高校毕业生租房补贴问题,G20181015-0024,住房保障中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016676347bc41c06
大连海洋大学教学楼占用安全通道,G20181015-0021,教育局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016675f4c25c1be3
甘井子区中升汇宝4S店欺诈消费者,G20181015-0015,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016675c255d01bbd
小区停车位强买强卖,G20181015-0011,金普新区管理委员会,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016675b4e9071bac
咨询个事情转了10几个电话，最后没人接,G20181015-0008,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016675a7da0c1ba2
旅顺开发区海府人家摆摊存安全隐患,G20181015-0006,旅顺口区人民政府,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e590166759d8b311b97
甘井子区星悦服装销售商行无法提供商品并不予退款,G20181015-0001,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901667357df461ad2
咨询对于建设固废燃烧处理厂的立项审批部门,G20181014-0018,环卫处,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016671b996bf1a5d
火锅店的肉来路不明,G20181014-0014,解放广场管理所,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e590166711a46961a2e
诉交管局科目三考试，机器故障导致挂科后，无合理处理方案,G20181014-0013,司法局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016670e22e221a18
举报大连再生交易所违规超范围经营期货，工商局不监管,G20181014-0005,大连市公共行政服务中心,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016670cca6681a0f
甘井子区国民院子小区严重违建，顶风违建加盖一层楼,G20181014-0009,甘井子区人民政府,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016670cc515e1a0e
新小区供暖收费标准,G20181014-0003,供热办,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016670a78f5e1a03
诈骗公司,G20181013-0014,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901666bca35541869
举报金融局不作为，伙同大连交易所欺骗投资人,G20181013-0009,大连市公共行政服务中心,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901666b376b3b183c
对大连再生交易所超范围经营期货，工商局为什么还审批,G20181013-0007,大连市公共行政服务中心,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901666b3460731838
小长山海带湾垃圾堆成山没人处理,G20181013-0001,长海县人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901666a6e28fd17f8
进口来曲唑片新农合报销吗?,G20181012-0022,新农合发展处,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e590166680abff41723
王家桥顺发路暖房子工程改造后续环境问题,G20181012-0021,甘井子区人民政府,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016667cf609a1708
求助解决问题,G20181012-0019,大连市公共行政服务中心,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016667be88a916f9
市法制办的回复请国土局解释,G20181012-0015,物业安全处,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901666713690a16af
沙河口区黑石礁街90年代老房子不做保温透寒,G20181012-0005,沙河口区城建局,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e590166662178551651
大连市甘井子区惠泽北园小区产权证相关事宜咨询,G20181012-0003,甘井子区城建局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016665d18be1162c
这种无法、违规安装空调的错误行径必须纠正,G20181011-0044,高新区行政执法局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e590166628e2fe714b7
没人管的小区,G20181011-0043,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016662670c9d14a8
这种无法、违规的空调安装必须纠正,G20181011-0042,高新区行政执法局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016662658bb114a7
中航华府交房两年，房产证不给办,G20181011-0041,甘井子区人民政府,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e590166624cd7c81497
区政府如何监管开发商的这种施工行为？,G20181011-0032,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016661ce05f41456
麻烦公安局的同志帮我查一下出租车号,G20181011-0031,大连市出租汽车管理处,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016661bcf04b144c
投诉大连湾街道不作为,G20181011-0022,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901666125e027140f
投诉信息无回应,G20181011-0020,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901666121bd21140d
本人蒋心明实名举报大连再生资源交易所有限公司非法经营违规操作,G20181011-0019,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e590166611c46fb1409
本人蒋心明实名举报大连再生资源交易所有限公司非法经营违规操作,G20181011-0018,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901666119289f1408
举报出租汽车管理处相关工作人员,G20181011-0012,车管处西岗所,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016660ddff3e13eb
协调下交通局，技术科，城建部把疏港路香炉焦立交桥好好规划下,G20181011-0006,大连市公共行政服务中心,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016660a9a04913c7
关于南沟村自来水问题,G20181011-0003,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901666091cc6913b5
出租车不顺路拼客，态度差,G20181011-0001,车管处西岗所,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901666040404a139a
国安宜居小区易明物业违规出租物业管理用房,G20181010-0042,甘井子区人民政府,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901665e5bddae12e5
请对大连西岗城建物业科长期不作为、互相推诿的行为给与查处！！！,G20181010-0030,西岗区城建局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901665ced80b01256
暖房子工程未做保温-请相关领导帮助老人度过寒冷的冬天,G20181010-0029,沙河口区城建局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901665ce591f21251
在企业管理资源网上购买的服务被取消,G20181010-0027,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901665cb3fa3c1238
天泉小镇交房没有取得房租竣工验收备案是否合法？,G20181010-0022,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901665c8155fe120e
地铁4号线进展,G20181010-0020,大连地铁集团有限公司,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901665c7a12ef1208
甘井子区周水前久胜街3号楼能否做暖房子工程,G20181009-0038,甘井子区人民政府,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016658d2da881096
如何监管开发商这种施工行为？,G20181009-0037,规划局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016658b0e084108e
如何监管开发商这种施工行为？,G20181009-0035,规划局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e590166589a539e1085
甘井子乾丰海景花园，楼梯外墙脱落没人管,G20181009-0032,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901665883ce711074
街道规划不清，卫生无人负责,G20181009-0029,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016657fb64dd1041
前关金地艺境小区物业管理混乱,G20181009-0021,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e590166577b924d0ff6
漏雨维权被物业人员入户殴打,G20181009-0020,大连市公共行政服务中心,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e590166577aac360ff4
大连市教育局中小学高级教师兑现名额分配不均,G20181009-0017,教育局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901665766553c0fe3
表扬大连市中心医院神经内一科李深医生,G20181009-0015,中心医院,已办结,表扬,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016656f9b6960f98
大华锦绣华城二期22号楼2703室违规乱装空调,G20181009-0014,高新区行政执法局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016656b8d9780f7b
交房10个月，漏雨2个月，开发商不作为,G20181009-0010,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016656acd1110f6f
关于大华锦绣华城小区二区22号楼2703室乱装空调的投诉,G20181009-0011,高新区行政执法局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016656a899750f6b
非法行医,G20181008-0041,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016653d9e12e0ea6
君融贷何时解决,G20181008-0038,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e590166535c9fc80e78
投诉大连天途有线公司高新园区凌水营 业厅欺诈销售，要求12315给予合理解决,G20181008-0035,大连天途有线电视网络股份有限公司,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e590166532083a50e66
投诉兴发门窗,G20181008-0029,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016652c760e60e4f
投诉大连兴发门窗,G20181008-0028,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016652b45eb30e44
房改办证明去哪里开具，需要准备什么资料？,G20181008-0023,住房保障中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901665285f29a0e2f
噪音,G20181008-0018,环保局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901665260d1d10e14
投诉大连承亿垣货运市场有限公司停车场乱收费,G20181008-0003,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e590166514cbae60d96
又一次投诉：公路监测点灯光过于强烈，存在引发交通事故隐患——不应以侵害公众权益来实施行政措施,G20181008-0001,长海县人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016651323b490d84
农户补助款，一直拖延不发,G20181007-0016,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901664ef278140d2e
给谭市长的信,G20181007-0014,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901664e5d86190d15
新用户在中国联通及其虚拟运营商处办理业务，被额外收费,G20181007-0013,大连市通信管理局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901664e0e80890d00
大连全好口腔治疗患者失误后，不管不顾,G20181007-0001,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901664cbc882e0cb1
天猫网家韵旗舰店欺诈消费者,G20181006-0012,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901664932db9e0c20
交通出行,G20181006-0001,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901664678f01b0b71
大连香洲田园城九凤村二期五证不齐能出售吗?,G20181005-0009,国土资源和房屋局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016642b262610a54
家庭困难,G20181005-0007,金普新区管理委员会,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016642878e020a4b
椒金山街道，请遵守法律,G20181004-0003,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901663d07e9e3091a
要求信息公开未得到及时回复,G20181004-0002,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901663cd0011f090a
登记结婚的户口本需要户口主页吗?,G20181003-0011,甘井子区民政局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016639fc457f0899
顺达温泉花园二期门岗违法施工破坏绿地违建房屋,G20181003-0008,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901663840df420843
投诉大连天途有线公司高新园区凌水营业厅欺诈销售,G20181003-0006,大连天途有线电视网络股份有限公司,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016637d4d9ce0826
瓦房店松树镇常年停水,G20181003-0002,瓦房店市人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901663705534f07f0
瓦房店松树镇常年停水,G20181003-0001,瓦房店市人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016636fd9e2607eb
投诉瓦房店市 复州城镇馨怡景苑 亿家惠超市出售过期食品，导致本人食用后身体不适,G20181002-0018,瓦房店市人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901663575c78f0799
出售过期食品（乳制品），没有QS（SC）标示的食品,G20181002-0017,瓦房店市人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e590166356b0ea80792
