反映内容,反映时间,反映标题,反馈时间,受理单位,受理编号,处理状态,答复内容,链接
我母亲是在领下杨树房村居住，2013年通知上自来水，每家每户收取500元费用，直到施工结束，家里一直没有自来水，一滴水都没有，日常只能到邻居家挑水使用。村里没有人管，没有人解决，跟施工的人反应过，根本不予理睬。现在5年了，家里还是没水，村上只收钱，不管事儿！,2018-09-17 17:13:58,之前在这投诉过为什么没有人理？村里收款上自来水，5年一直没水！,2018-10-08 14:32:55,瓦房店市,G20180917-0035,已办结,为了彻底解决村民吃水问题，在七一建党节期间，办事处和杨树房村有关领导首先召开党员大会，动员广大党员干部带头拆除自家私接的水管，其次又召开村民代表大会，动员村民代表带头拆除私接水管，党员和村民代表都表示同意，并在全村发布公告，限期到7月31日自行拆除自家水管，如果到期再不拆除，将由第三方进行拆除，待全部私接水管拆除后，将和瓦房店自来水公司并网通水。但到了7月31号最后期限，没有一家对私接水管进行拆除，致使下一步工作无法进行。村委会也实在无能为力，村委会下一步将研究其他办法进行解决。关于每户收500元自来水的问题，经调查，杨树房村是按瓦房店市水利局要求规定收取的，用于安装水管管道钱及占地补偿的费用，并不是安装自来水的费用。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165e6ce3000794a
本人在淘宝网店所购一款品牌为绿叶产品的真空机，收货产品与淘宝店所描述的产品完不符，无厂家地址、生产日期以及一张没有厂名的空白合格证，我多次要求商家提供厂家地址和联系方式以方便证实产品真伪情况，商家就是不提供，本人怀疑系三无贴牌产品，商家所提供的退货地址为大连市甘井子区华北路五金机电城2fB9。联系电话15904266802.恳请查实给消费者一个明白，让大家买得放心，提高大连的形象和良好的市场信誉。,2018-09-17 17:57:30,投诉三无产品,2018-10-09 15:40:49,甘井子区人民政府,G20180917-0039,已办结,2018年9月19日14时15分，甘区市场监管局大型市场第一监管所调解人员龚建纯、胡其顺与诉求人电话联系，了解诉求具体情况。调解人员根据《工商行政管理部门处理消费投诉管理办法》的规定要求，在接到诉求人投诉及发来的相关材料后，调解人员及时到诉求人提供的投诉现场调查核实。经核实，该商户经营的是压力表、气动元件等五金材料，未经营真空包装机，也未在淘宝上经营，另外，诉求人提供的淘宝商家电话也是空号。故诉求人淘宝所购商品不是出在大一所管辖区域，网上提供地址可能存在被人冒用。办理结果已告知诉求人，并建议采取其他途径进行维权。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165e6e410af7955
国创科视有限公司欠薪，仲裁调解后公司未履行，本人提交法院强制执行，2017年下半年至今没有解决。该公司拖欠本人工资及五险一金共计5万余，损害我个人及国家利益！,2018-09-17 17:46:05,仲裁国创科视欠薪一年未果，法院执行未果,2018-11-14 09:33:58,中山区法院,G20180917-0037,已办结,该案法院已终结执行，。通过申请执行人提供的线索，本院已冻结相关银行账号，但仍未有财产线索，故该案终结执行，可在两年之内若有财产信息可提供法院再行恢复执行案件。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165e6e6b8bc7959
"瓦房店市祝华办事处辖工业村村民住宅的门房（院子里),可否办理正规房照，如果办理了是否符合规划和相关规定。谢谢！",2018-09-17 20:13:52,房照办理,2018-09-19 08:44:10,瓦房店市,G20180917-0041,已办结,经与瓦房店市国土局沟通不能办理房照，故办结,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165e76bc6677984
我是远洋风景21-1-302业主，我的楼下202业主在临街1楼公建的露台上于2017年7月26日私自搭建了一个钢结构的阳光房，该阳光房对我和周围其他业主存在极大的安全隐患。我已先后2次通过电话举报的方式将该情况反映到12345工作平台，也在民意网进行举报，并和物业一起将书面材料送达西岗区北京街街道城管科。有关部门回复：对于我反映的情况已经受理，并已依法按程序对其下达了《违章通知书》，限期自行拆除，如果违建业主不自行拆除有关部门将依法律程序拆除违建。虽然政府一直强调“重实干、强执行、抓落实”但该违建至今依然存在，因此我再次举报此处违建，同时要求在网站对举报问题的处理意见进行政务公开。,2018-09-17 20:32:53,有关部门受理超过1年的违建仍未拆除,2018-10-16 14:45:18,西岗区北京街道,G20180917-0042,已办结,尊敬的网友您好：经查，诉求人反映的情况属实。辖区执法大队已依据《中华人民共和国城乡规划法》相关规定，对位于西岗区远洋风景21号楼1单元202室北侧平台搭建的建筑物，向其房主下达了法律文书，并报上级机关。何时拆除，辖区执法大队正等待通知。感谢您的关注和信任，祝您生活愉快！,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165e7727ce97987
甘井子区凌海小区门口（大连理工大学西便门外肯德基门口）夜间2点半道路仍在施工，噪声扰民。,2018-09-18 02:42:24,道路夜间施工,2018-09-26 14:09:03,环保局,G20180918-0001,已办结,举报人您好！首先感谢您对环保工作的关心和支持！经我局监察人员现场检查发现，该道路施工有大连市交通警察支队颁发的《挖掘道路许可决定书》允许其夜间19:30至次日5:00进行施工，按照《中华人民共和国行政许可法》“谁许可谁监管”的原则，您反映的道路施工噪声扰民问题，属于大连市交通警察支队管理。建议您向大连市交通警察支队进行反映。（2018年9月25日10时23分反馈，投诉人表示满意。）,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165e8d524d379eb
请问甘井子区行政执法局在接到违章建筑举报后的具体执法流程，要求书面回复。,2018-09-18 06:35:33,咨询甘井子区行政执法局的执法流程,2018-09-21 11:37:52,甘井子区人民政府,G20180918-0002,已办结,尊敬的网友您好：接到违章建筑举报后的具体执法流程为：案件受理-核实情况（现场勘验）-立案-调查取证-研究决定-下达拟处罚通知（告知听证）-下达处罚决定-执行。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165e9ab58027a65
《script》alert(“XSS“)《/script》,2018-09-18 08:56:53,《script》alert(“XSS“)《/script》,2018-09-18 09:34:28,大连市公共行政服务中心,G20180918-0004,已办结,尊敬的网友您好：没有具体诉求，工单做办结处理，感谢您的支持和关注。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165ea2c41ac7a96
入住小区8年，已满足开通煤气的标准，但时至今日小区仍未开通煤气。小区的开发商为：大连城建开发集团管理有限公司，小区物业公司为：大连城建开发集团管理有限公司西山丽水分公司。（物业公司为开发商的下属公司）。物业公司根本没有做到前期的查验工作。物业公司欺骗业主，推说煤气公司的气源不能满足。给业主生活带来极大的困扰和麻烦。业主的维权力量及其微弱，请政府机关心系百姓，尽快解决百姓的民生问题。,2018-09-18 09:27:26,全统西山丽水小区入住8年因开发商的原因至今未开通煤气,2018-09-26 09:10:57,城乡建设委员会,G20180918-0009,已办结,尊敬的网友您好：大连市甘井子区“西山丽水”住宅小区是大连全统房地产开发有限公司2007年开发建设的，2009年居民开始陆续入住。经查，该住宅小区的开发单位已进行了燃气内管线配套施工，未进行燃气的外管线的配套施工。接到该投诉件后，相关单位已联系开发单位，要求其尽快完善该住宅小区的燃气外管线配套施工，早日办理燃气配套手续。近几年，我市正处于引入天然气替代人工煤气的转换时期，天然气引入工程正在逐步推进，为避免造成工程浪费，就没有在人工煤气的气源建设方面增加新的投入，造成近几年气源不足，致使燃气集团在发展煤气用户工作上受到了很大的限制。自2013年以来，燃气集团就停止了新煤气用户的发展工作。为了解决我市人工煤气气源不足的问题，改善我市的能源结构，政府一直在积极推进天然气入连的各项工作。今年，我市天然气引入工作已经开始启动。天然气入连后，全市将逐步推进天然气的置换工作，届时该住宅小区将直接进行天然气供应,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165ea3a27f97aa3
家里换热水器时候，因为要关水总阀门，所以发现家里自来水总阀门坏了，保修客服后，一个维修师傅打来电话说不归他负责的片区，帮我转接下，于是就挂电话了，后来杳无音讯！于是我又给客服打电话保修，她说你等着吧，又没音了，我就在网上投诉了，维修师傅在我通过民心网留言后才来的，来以后，看了下，说不是他们原装的(因为我买的是二手房子)，他们不管，不负责，得我们住户自己找师傅，行，如果这样能解释通，我可以理解，但要是自己找个师傅，能保证第一时间把总阀门关上，保证我自己找的师傅第一时间修好，如果，自己找的师傅没修好，又漏水了，算谁的？？？(我也能理解自来水公司师傅说的，要先抢救爆水等突发紧急情况的市民)！而且电话回访说话挺客气，但没有说到重点上，说的都模棱两可的，这不就跟以前基层找机关办事风格一样吗？相互“踢皮球”，遇到问题不想着办法怎么样尽快解决，而是把自己定性为旁观者，进行所谓的“支招”，问题没根本解决，谁能表示满意！我也是醉了，不能张嘴说瞎话啊！我现在不想怎样，就想赶紧把自来水总阀门修好！,2018-09-18 09:20:24,需要尽快，实际修复家里自来水总阀门！,2018-09-19 08:46:08,大连市公共行政服务中心,G20180918-0007,已办结,尊敬的网友您好：建议您留下您的详细地址。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165ea41b0177aac
泡崖8区玉浓街93号阿伟便利店占道经营，街道执法部门反复处理多次，问题依然。晚间阿伟占道经营特别严重，总是打游击，请问执法部门就没有别的方法制约阿伟便利店吗？总是挑战政府部门权威，让政府部门一次又一次失信于老百姓，这样的店就不该给它发营业执照！,2018-09-18 10:02:00,阿伟便利店占道经营，反复处理多次，问题依然,2018-09-20 15:35:18,甘井子区人民政府,G20180918-0014,已办结,尊敬的网友您好：接到诉求后，街道执法人员对该区域进行整治清理，后续将持续关注。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165ea614e417ac7
在中冶焦耐公司后山有一处垃圾处理厂。9.16日上午我们搞团建活动，途经垃圾厂然后去磨盘山新修的烈士纪念碑，沿途风景优美，但是垃圾厂后的渗滤液处理装置发出阵阵恶臭，并且污水无组织排放，且渗滤液毒性极大，对山水植被产生巨大影响，请环保督查进行检查处罚。,2018-09-18 10:51:01,高新园区垃圾处理厂无组织排渗滤液,2018-09-29 10:09:56,环境保护局,G20180918-0016,已办结,举报人您好！经高新园区环保分局对中冶即焦耐后山垃圾中转站现场检查，未发现您反映的污水无组织排放违法问题。该垃圾中转站属于高新园区环境卫生管理处，每日作业完毕都进行清洗、除臭。污水统一收集处置。欢迎您继续关注，发现环境污染问题及时向环保部门反映。感谢您对环境保护工作的支持！多次向信访人反馈处理结果，信访人手机关机。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165ea8f61f47ae5
庄河市泰昌路光阴故事私房菜老板纪海峰，是退伍军人，我是他的战友。前两天微信联系我说急用钱周转一下。隔天就还。可是到了时间没还现在联系不上了。主要我借他的钱是贷款借他的。我家农村也没什么钱，我也得生活啊。希望好心人帮帮我。我隔着那里有一千多公里，工作也没时间去。,2018-09-18 11:42:16,餐馆老板系退伍军人借战友钱不还,2018-09-19 16:02:28,大连市公共行政服务中心,G20180918-0018,已办结,尊敬的网友您好：您反映的问题，不属于我平台受理范围，已电话告诉您，感谢您的理解。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165eabd37a67afe
16日纪海峰微信联系我借钱2000，说是急用周转一下，隔天下午就还。因为同是战友。我当时没有钱。就用支付宝贷款给他了。心想借一天就还没什么。可是一直没有还钱得消息。打电话不接发信息不回。我家农村经济条件不好。最近又有了孩子。这两千块钱对别人说小钱，对我可是不小的数目。我有转账记录。还有聊天记录。希望好心的人帮帮我。我现在在部队也不能去找他。还希望好心的你们帮帮我。纪海峰电话13215522277,2018-09-18 12:11:48,庄河市泰昌路88号光阴故事私房菜老板纪海峰是退伍军人借钱不还,2018-09-19 16:02:14,大连市公共行政服务中心,G20180918-0019,已办结,尊敬的网友您好：您反映的问题，不属于我平台受理范围，已电话告诉您，感谢您的理解。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165ead8eaed7b09
"双方打架，然后都被带到派出所，然后我被另一方拿铁具伤到了右眼皮（划了一小部分）另一方什么伤都没有，在派出所那里我要求派出所出具证明我好去指定医院验伤，但是被派出所给拒绝了，理由是我们只管处理案件不管出具证明给你或者带你去做伤势鉴定，并且我多次要求派出所对双方打架的现场进行录像取证，但是派出所依然不作为，并且一直向着打人的一方,打人的一方就集体耍无赖，这面合伙打人，侮辱人，然后作伪证，还讹人。这种情况下我该怎么做，是去法院起诉他们追究责任还是上有关部门举报或者说是反应情况，希望能给我个详细的说法，谢谢！联系方式18640955010",2018-09-18 14:25:36,咨询,2018-09-19 14:57:56,司法局,G20180918-0029,已办结,尊敬的网友您好：根据咨询人所反映的情况，如果对派出所处理治安案件的程序有异议，可以向所在区的公安机关反映。《治安管理处罚法》第九条规定：“对于因民间纠纷引起的打架斗殴或者损毁他人财物等违反治安管理行为，情节较轻的，公安机关可以调解处理。经公安机关调解，当事人达成协议的，不予处罚。经调解未达成协议或者达成协议后不履行的，公安机关应当依照本法的规定对违反治安管理行为人给予处罚，并告知当事人可以就民事争议依法向人民法院提起民事诉讼。”大连市司法局法律服务指挥中心2018年9月19日,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165eb4ec37b7b50
"本人按照商家提供的链接购买了一台‘绿叶’品牌的真空机，并查看了商家网站上对绿叶品牌新产品的描述介绍（再说以前购买过绿叶品牌的产品觉得此品牌还行）认为其功能符合自己的要求，就下单订了一台，可收到的产品完全与商家网站描述不符合，且产品无品牌标识（只张贴了一张不太清楚的防伪标签）无生产日期，随产品的只有一张空白无厂家的合格证。产品说明书上也无一个字有关品牌名称及厂家的信息，且产品做工较粗糙。第一感觉就是一台不是正规的产品，本着好心提出退货算了，但运费险只退15元，而退货运费需18元，我也要求商家补差3元，但商家怎么也不承担责任，坚称自己的是正品（我们表示要投诉后商家才愿意补3元）但因店家及不诚恳的态度使促使我们老板要求我多次请商家提供生产厂家地址及售后联系方式以便查证产品真伪，但商家就是不愿意提供，因此我们更加可信商家出售三的为三产品。因此我们请求工商部门给予严查并给我们消费者一个明白。以便维护好大连良好的信誉和市场营销环境，杜绝假冒产品侵害消费者合法权益！商家地址大连市甘井子区华北路五金机电城2fb9,联系电话为15204266802",2018-09-18 16:37:08,假冒伪劣三无产品,2018-10-09 15:40:02,甘井子区人民政府,G20180918-0031,已办结,2018年9月19日14时15分，甘区市场监管局大型市场第一监管所调解人员龚建纯、胡其顺与诉求人电话联系，了解诉求具体情况。调解人员根据《工商行政管理部门处理消费投诉管理办法》的规定要求，在接到诉求人投诉及发来的相关材料后，调解人员及时到诉求人提供的投诉现场调查核实。经核实，该商户经营的是压力表、气动元件等五金材料，未经营真空包装机，也未在淘宝上经营，另外，诉求人提供的淘宝商家电话也是空号。故诉求人淘宝所购商品不是出在我所管辖区域，网上提供地址可能存在被人冒用。办理结果已告知诉求人，并建议采取其他途径进行维权。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165ebc2a5977ba1
本人为浙江大学研究生一年级学生，户籍归属辽宁省瓦房店市。开学之初学校通知可以进行经济困难认定，除低保及五保户外，单亲家庭与遭受重大变故致使经济困难的同学也可认定，需前往户籍所在地民政部门盖章证明。然而咨询户籍所属村委会后得知瓦房店市民政局只受理持有低保的同学的困难证明，其他一律不予受理，并通知下级部门按此操作。本人父亲于去年遭遇意外去世，家中丧失主要经济来源，母亲没有稳定工作，家庭没有稳定的收入来源，瓦房店市民政局仅因不是低保户就不予进行贫困认定是否有失偏颇，对其他情况导致经济困难的同学不公。望上级部门对此事予以重视和考虑，本人及辖区内其他经济困难的同学表示由衷帮的感谢。,2018-09-18 19:33:49,大学生经济贫困认定不予受理,2018-10-15 09:58:27,瓦房店市人民政府,G20180918-0036,已办结,关于大学生经济贫困认定不予受理的答复市民服务中心：关于大学生经济贫困认定不予受理已收悉（处理单号2018091070），现答复如下：一、诉求问题大学生经济贫困认定不予受理。二、处理意见从2018年1月1日前，盖贫困证明章需填写《困难学生家庭情况证明表》，2018年1月1日起上级民政部门不允许出具不合理证明，因此无法确定学生家庭具体情况，只能以低保证为证明。根据诉求人具体情况，诉求人若符合低保标准可到户口所在地的民政办办理低保。三、处理结果根据诉求人所留电话，拨打无人接听。瓦房店市民政局2018年10月12日,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165ec656a567bd7
你好，我是甘井子区大纺红嘴子街36号楼的居民，最近街道翻新了楼前地面，但是有些井盖和地面不平且差距很大，不仅影响美观还影响行人通行安全，不知道哪个部门能处理下这个问题。,2018-09-18 19:50:29,方砖步道井盖问题,2018-09-28 12:51:49,甘井子区人民政府,G20180918-0037,已办结,针对诉求人反映的问题，街道、社区到现场进行了查看，该区域前期进行了方砖施工，目前已施工完毕，方砖、下水井都已修好。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165ec7b02d77be5
"连君融贷有着地方政府支持,明星企业,春晓上市公司两轮融资等众多光环的企业，随着p2p雷潮君融贷未能性免，7月15日爆雷原本8月20给出兑付方案但至今没有结果，地方政府踢皮球，488万同胞维权无门，百姓叫苦连天。光环时期各大媒体央视争相播报，踩雷无人敢声张，我热爱的祖国这是怎么了，这是我八年军旅生涯的祖国吗？没人敢声张正义，却让外媒对我们指手划脚，可耻！您能听到百万同胞血的呼唤吗？请您为百万同胞作主！要回我们的血汗钱，要回我们的尊严，绝不能让这些败类逍遥法外。在次肯请您，委派督查组彻查君融贷，督查大连政府给百万民众一个说法。",2018-09-19 09:26:56,君融贷诈骗老百姓血汗钱,2018-09-19 15:38:45,大连市公共行政服务中心,G20180919-0008,已办结,尊敬的网友您好：前期已有答复，已电话告知诉求人，建议通过司法途径协调处理，诉求人表示认可。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165ef6eaa567d1f
该人员本月办理灵活就业人员退休，其已于2001年取得取得副高级职称以上，并经大连市人才服务中心认定，可在大连人才服务网站上查询。现在瓦房店市社保窗口办理退休时，经办人员表示无法提供《企业高职人员信息采集表》，而在大连人社局网站所列明的办理指南第11条明确列出该表格，现询问《企业高职人员信息采集表》下载路径或者领取方式，以避免该人员退休办理时此项信息不完备，影响未来待遇申领。谢谢！,2018-09-19 11:11:04,关于副高级职称灵活就业人员退休办理中《企业高职人员信息采集表》的相关问题,2018-10-09 14:34:32,瓦房店市人民政府,G20180919-0020,已办结,接收[2018-10-0913:39:41]关于《企业高职人员信息采集表》的相关问题，诉求人已于2018年9月28日已填写完整，《退休人员审批表》已经人社局审批。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165efcb11b47d75
请问下我市处理已售商品房不能办理产权是由贵局哪位领导负责，也请告知下具体办公电话，在信访局的接待时间等。谢谢,2018-09-19 11:39:47,已售商品房不能办理产权问题,2018-09-20 13:25:11,中共大连市委大连市人民政府信访局,G20180919-0026,已办结,尊敬的网友您好：大连市信访局没有产权办理职能，请向所在地区房屋部门进行咨询，大连市国土房屋局咨询电话：82591761.,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165efe493a87d90
2016年10月被大连再生资源交易所骗做期货，35万，多交易所违规经营期货，金融局不监管，投诉了，态度恶劣，不但不解决问题，还帮着交易所，交易所是经过金融办批准的，明明知道经营期货特别是铜，原油，白银都是国家不允许的，真是金融办不监管，不作为才导致交易所到现在还在正常运作，你们不解决我就继续投诉举报省纪委，中央纪委,2018-09-19 12:37:01,投诉金融局不作为,2018-10-15 15:29:44,大连市公共行政服务中心,G20180919-0029,已办结,尊敬的网友您好：您所反映的问题建议您通过法律途径解决。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165f01895a47da8
1：依《中华人民共和国政府信息公开条例》申请公开：关于金融办对（大连君融贷信息技术服务有限公司）的审批，请给予纸质回复。2：依《中华人民共和国政府信息公开条例》申请公开：关于金融办同意（大连君融贷信息技术服务有限公司）开业的批复请给予纸质回复。3：依《中华人民共和国政府信息公开条例》申请公开：关于（大连君融贷信息技术服务有限公司）经金融办批准的P2P出借平台及范围、备案和批文，请给予纸质回复。4：依《中华人民共和国政府信息公开条例》申请公开：金融办对（大连君融贷信息技术服务有限公司）网络开展P2P出借平台的统计监测、违规处理、风险处置情况，请给予纸质回复。5：依《中华人民共和国政府信息公开条例》申请公开：金融办对（大连君融贷信息技术服务有限公司）自成立以来网络开展出借交易的监督检查记录和成立时批准的检查记录，请给予纸质回复。,2018-09-19 15:52:58,君融贷诈骗，老百姓走投无路,2018-09-20 15:09:31,大连市公共行政服务中心,G20180919-0046,已办结,尊敬的网友您好：您所反映的问题不在本平台受理范围，建议向政务公开部门咨询。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165f0cfefa47e16
领导：你好！关于《大连市人民政府关于促进物业服务行业发展的实施意见》大政发【2014】40号文件中的：“第五条加大政府扶持和监管力度”下项中，“（十五）完善物业服务收费管理”中规定的内容（前期物业服务项目的物业服务费用，在项目取得房屋竣工验收备案证书并交付业主使用后，由业主承担；在交付业主使用前，由建设单位承担。）请作出解释。我是否可以理解为：房屋如未取得竣工验收备案证书，即使业主入住了也不能收取物业费。请作出解释。,2018-09-19 16:43:30,申请大政发【2014】40号文件中的条款作出解释,2018-09-26 09:56:03,物业安全处,G20180919-0048,已办结,"尊敬的网友您好：《大连市人民政府关于促进物业服务行业发展的实施意见》（大政发[2014]40号）第（十五）条第四款规定“前期物业服务项目的物业服务费用，在项目取得房屋竣工验收备案证书并并付业主使用后，由业主承担；在交付业主使用前，由建设单位承担。”文件出台后,由于文件中没有设置罚责，对违规行为无法处理。虽然今年省物业管理条例也设置了同样的条款，但依然没有设置罚责。同时在以往法院审理的案件中，因业主在与开发商签订的合同中约定同意接收未竣工验收的房屋并按照合同交纳物业费，依据合同法，此项约定成立。为了落实此项规定，确保业主的合法权益得到保护，我们在起草我市《物业管理条例》，已在条例中规定相关内容和违反行为的罚则，正在通过人大审议。如审议通过，条例出台后将以此维护业主利益不受侵害。",http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165f0fca7e37e2d
8月20四大连大雨中航局海底隧道工程施工单位把排水管道堵了导致周边居民住户的房主受损家用电器生活用品全部都坏了都一个多月了还没有赔偿一拖再拖现在都回不了家,2018-09-19 17:31:03,8月20日中航局海底隧道工程施工单位把排水管道堵了 造成家里被淹,2018-09-25 14:02:57,工程处,G20180919-0050,已办结,尊敬的网友您好：9月25日上午9:22，项目部安监部李海龙用手机（13898617785）联系唐女士，唐女士反映——8月20日大雨，家里的棉被、电器等生活用品被淹，导致不能回家；现在经12345调解，已得到施工方赔付和慰问，签署了和解协议书，撤销了投诉。李海龙：由于施工原因对唐女士等民众生活上造成的不利影响，表示歉意。唐女士表示：对目前处理结果基本满意。采取的措施：1.对唐女士等51家居民的损失进行了赔付，并进行了慰问，签署了和解协议书；取得了民众的支持和谅解。2．后期，将根据现场施工进展，合理优化工艺，避免在汛期因施工作业对周边居住区的排水产生不利影响。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165f125d1307e3e
您好，辛苦了，请问鼎润四季，恒大帝景附近的垃圾中转站批准了吗？什么时修建？,2018-09-19 20:08:42,关于南松路恒大地景附近垃圾站,2018-09-21 08:59:05,环卫处,G20180919-0054,已办结,尊敬的网友您好：南松路生活垃圾转运站虽符合规划和建设标准的要求，但因实施过程中周边居民提出反对意见，原建设方案已停止推进。目前，我们正就如何解决这一问题组织论证。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165f1b5db647e77
我是一个宠物诊所的医生，在给宠物看病的时候，宠物把我咬伤，宠物主人以我是兽医为名，没有保定好宠物，不给我赔偿医药费。我就想知道我这个事，要求宠物主人赔偿医疗费是否合理！那个部门能给解决！,2018-09-19 21:17:31,兽医的求助,2018-09-21 14:21:46,大连市公共行政服务中心,G20180919-0056,已办结,尊敬的网友您好：已告知市民不在受理范围，感谢关注。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165f1f0b9e27e8e
你好，大连现在取消蓝牌货车的营运手续吗？车辆综合检测。车辆从业资格证。道路运输证这些9月底前要检。现在我还要继续办理吗？,2018-09-20 03:53:56,蓝牌货车,2018-09-20 08:51:33,大连市道路运输管理处,G20180920-0001,已办结,尊敬的网友您好：关于取消从业资格证和车辆营运证问题，我处至今未收到上级相关文件，还按照以前规定执行。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165f3608e077ee7
想要做一个单纯的外卖厨房，都应该到哪些部门办理手续，具体的先后流程应该如何办理。,2018-09-20 08:10:54,做一个外卖厨房需要如何办理相关手续,2018-09-21 10:01:33,大连市公共行政服务中心,G20180920-0003,已办结,尊敬的网友您好：问题已经解决，感谢您关注。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165f44f24897fb4
"本人按照商家提供的链接购买了一台‘绿叶’品牌的真空机，并查看了商家网站上对绿叶品牌新产品的描述介绍（再说以前购买过绿叶品牌的产品觉得此品牌还行）认为其功能符合自己的要求，就下单订了一台，可收到的产品完全与商家网站描述不符合，且产品无品牌标识（只张贴了一张不太清楚的防伪标签）无生产日期，随产品的只有一张空白无厂家的合格证。产品说明书上也无一个字有关品牌名称及厂家的信息，且产品做工较粗糙。第一感觉就是一台不是正规的产品，本着好心提出退货算了，但运费险只退15元，而退货运费需18元，我也要求商家补差3元，但商家怎么也不承担责任，坚称自己的是正品（我们表示要投诉后商家才愿意补3元）但因店家及不诚恳的态度使促使我们老板要求我多次请商家提供生产厂家地址及售后联系方式以便查证产品真伪，但商家就是不愿意提供，因此我们更加可信商家出售三的为三产品。因此我们请求工商部门给予严查并给我们消费者一个明白。以便维护好大连良好的信誉和市场营销环境，杜绝假冒产品侵害消费者合法权益！商家地址大连市甘井子区华北路五金机电城2fb9,联系电话为15204266802首先感谢南光岭市场中心来电回复，接电话的龚先生很热情，在此必须为大连工商部门点赞，但要我提供一些要件由于邮箱有误发不过去，但又找不到联系方式，因此只有在这里留言，请处理时需要我提供那些证据以电子邮箱形式发我，我的QQ邮箱112141724,这样我直接回复提供就方便了！",2018-09-20 09:27:45,三无产品投诉,2018-09-21 16:22:13,甘井子区市场监督管理局,G20180920-0009,已办结,2018年9月21日10时10分，甘区市场监管局大型市场第一监管所调解人员龚建纯、胡其顺已通过诉求人提供的QQ邮箱发送邮件，告诉诉求人需要提供的投诉证据材料。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165f48b96187fd7
